"date","hits","keyword","geo","time","gprop","category"
NA,24,"Inflation","CA","all","web",0
NA,28,"Inflation","CA","all","web",0
NA,20,"Inflation","CA","all","web",0
NA,23,"Inflation","CA","all","web",0
NA,27,"Inflation","CA","all","web",0
NA,23,"Inflation","CA","all","web",0
NA,24,"Inflation","CA","all","web",0
NA,25,"Inflation","CA","all","web",0
NA,22,"Inflation","CA","all","web",0
NA,22,"Inflation","CA","all","web",0
NA,25,"Inflation","CA","all","web",0
NA,28,"Inflation","CA","all","web",0
NA,26,"Inflation","CA","all","web",0
NA,26,"Inflation","CA","all","web",0
NA,30,"Inflation","CA","all","web",0
NA,29,"Inflation","CA","all","web",0
NA,29,"Inflation","CA","all","web",0
NA,46,"Inflation","CA","all","web",0
NA,100,"Inflation","CA","all","web",0
NA,87,"Inflation","CA","all","web",0
NA,70,"Inflation","CA","all","web",0
NA,61,"Inflation","CA","all","web",0
NA,83,"Inflation","CA","all","web",0
