"date","hits","keyword","geo","time","gprop","category"
NA,7,"Recession","CA","all","web",0
NA,7,"Recession","CA","all","web",0
NA,8,"Recession","CA","all","web",0
NA,10,"Recession","CA","all","web",0
NA,60,"Recession","CA","all","web",0
NA,62,"Recession","CA","all","web",0
NA,25,"Recession","CA","all","web",0
NA,24,"Recession","CA","all","web",0
NA,16,"Recession","CA","all","web",0
NA,13,"Recession","CA","all","web",0
NA,13,"Recession","CA","all","web",0
NA,32,"Recession","CA","all","web",0
NA,19,"Recession","CA","all","web",0
NA,14,"Recession","CA","all","web",0
NA,21,"Recession","CA","all","web",0
NA,39,"Recession","CA","all","web",0
NA,49,"Recession","CA","all","web",0
NA,14,"Recession","CA","all","web",0
NA,100,"Recession","CA","all","web",0
NA,52,"Recession","CA","all","web",0
NA,30,"Recession","CA","all","web",0
NA,43,"Recession","CA","all","web",0
NA,77,"Recession","CA","all","web",0
