"date","hits","keyword","geo","time","gprop","category"
NA,25,"Supply chain","CA","all","web",0
NA,23,"Supply chain","CA","all","web",0
NA,22,"Supply chain","CA","all","web",0
NA,21,"Supply chain","CA","all","web",0
NA,18,"Supply chain","CA","all","web",0
NA,20,"Supply chain","CA","all","web",0
NA,20,"Supply chain","CA","all","web",0
NA,23,"Supply chain","CA","all","web",0
NA,22,"Supply chain","CA","all","web",0
NA,23,"Supply chain","CA","all","web",0
NA,25,"Supply chain","CA","all","web",0
NA,27,"Supply chain","CA","all","web",0
NA,27,"Supply chain","CA","all","web",0
NA,29,"Supply chain","CA","all","web",0
NA,33,"Supply chain","CA","all","web",0
NA,37,"Supply chain","CA","all","web",0
NA,41,"Supply chain","CA","all","web",0
NA,41,"Supply chain","CA","all","web",0
NA,60,"Supply chain","CA","all","web",0
NA,55,"Supply chain","CA","all","web",0
NA,50,"Supply chain","CA","all","web",0
NA,52,"Supply chain","CA","all","web",0
NA,100,"Supply chain","CA","all","web",0
