"Date","description","Value","Macrobond_Code"
2009-02-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans to Change Average Wages, Average Wage Plans",1.283602,"casurv0073"
2009-03-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans to Change Average Wages, Average Wage Plans",1.018848,"casurv0073"
2009-04-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans to Change Average Wages, Average Wage Plans",1.205757,"casurv0073"
2009-05-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans to Change Average Wages, Average Wage Plans",1.335476,"casurv0073"
2009-06-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans to Change Average Wages, Average Wage Plans",1.16761,"casurv0073"
2009-07-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans to Change Average Wages, Average Wage Plans",1.270812,"casurv0073"
2009-08-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans to Change Average Wages, Average Wage Plans",1.319627,"casurv0073"
2009-09-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans to Change Average Wages, Average Wage Plans",1.434489,"casurv0073"
2009-10-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans to Change Average Wages, Average Wage Plans",1.436583,"casurv0073"
2009-11-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans to Change Average Wages, Average Wage Plans",1.397252,"casurv0073"
2009-12-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans to Change Average Wages, Average Wage Plans",1.510708,"casurv0073"
2010-01-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans to Change Average Wages, Average Wage Plans",1.613614,"casurv0073"
2010-02-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans to Change Average Wages, Average Wage Plans",1.674625,"casurv0073"
2010-03-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans to Change Average Wages, Average Wage Plans",1.562241,"casurv0073"
2010-04-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans to Change Average Wages, Average Wage Plans",1.664246,"casurv0073"
2010-05-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans to Change Average Wages, Average Wage Plans",1.418685,"casurv0073"
2010-06-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans to Change Average Wages, Average Wage Plans",1.526371,"casurv0073"
2010-07-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans to Change Average Wages, Average Wage Plans",1.626976,"casurv0073"
2010-08-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans to Change Average Wages, Average Wage Plans",1.472571,"casurv0073"
