Gender,Year,Quarter,Industry,Organization_Size,Value
Femme,2024,AVG,Tous secteurs confondus,1 à 4 employés,119545
Femme,2024,AVG,Tous secteurs confondus,100 employés et plus,1292.5
Femme,2024,AVG,Tous secteurs confondus,20 à 99 employés,16187.5
Femme,2024,AVG,Tous secteurs confondus,5 à 19 employés,58687.5
Femme,2024,AVG,Tous secteurs confondus,Toutes les tailles,195712.5
Femme,2024,AVG,"Hébergement, restauration",1 à 4 employés,2975
Femme,2024,AVG,"Hébergement, restauration",100 employés et plus,200
Femme,2024,AVG,"Hébergement, restauration",20 à 99 employés,3472.5
Femme,2024,AVG,"Hébergement, restauration",5 à 19 employés,6820
Femme,2024,AVG,"Hébergement, restauration",Toutes les tailles,13467.5
Femme,2024,AVG,"Administratif et soutien, gestion des déchets et assainissement",1 à 4 employés,5217.5
Femme,2024,AVG,"Administratif et soutien, gestion des déchets et assainissement",100 employés et plus,157.5
Femme,2024,AVG,"Administratif et soutien, gestion des déchets et assainissement",20 à 99 employés,1020
Femme,2024,AVG,"Administratif et soutien, gestion des déchets et assainissement",5 à 19 employés,2857.5
Femme,2024,AVG,"Administratif et soutien, gestion des déchets et assainissement",Toutes les tailles,9252.5
Femme,2024,AVG,"Agriculture, foresterie, pêche et chasse",1 à 4 employés,2420
Femme,2024,AVG,"Agriculture, foresterie, pêche et chasse",100 employés et plus,10
Femme,2024,AVG,"Agriculture, foresterie, pêche et chasse",20 à 99 employés,255
Femme,2024,AVG,"Agriculture, foresterie, pêche et chasse",5 à 19 employés,785
Femme,2024,AVG,"Agriculture, foresterie, pêche et chasse",Toutes les tailles,3470
Femme,2024,AVG,"Arts, divertissements, loisirs",1 à 4 employés,2077.5
Femme,2024,AVG,"Arts, divertissements, loisirs",100 employés et plus,17.5
Femme,2024,AVG,"Arts, divertissements, loisirs",20 à 99 employés,195
Femme,2024,AVG,"Arts, divertissements, loisirs",5 à 19 employés,910
Femme,2024,AVG,"Arts, divertissements, loisirs",Toutes les tailles,3200
Femme,2024,AVG,Construction,1 à 4 employés,2600
Femme,2024,AVG,Construction,100 employés et plus,125
Femme,2024,AVG,Construction,20 à 99 employés,650
Femme,2024,AVG,Construction,5 à 19 employés,1532.5
Femme,2024,AVG,Construction,Toutes les tailles,4907.5
Femme,2024,AVG,"Finances, assurances",1 à 4 employés,3942.5
Femme,2024,AVG,"Finances, assurances",100 employés et plus,95
Femme,2024,AVG,"Finances, assurances",20 à 99 employés,507.5
Femme,2024,AVG,"Finances, assurances",5 à 19 employés,1102.5
Femme,2024,AVG,"Finances, assurances",Toutes les tailles,5647.5
Femme,2024,AVG,"Soins, santé et aide sociale",1 à 4 employés,24785
Femme,2024,AVG,"Soins, santé et aide sociale",100 employés et plus,292.5
Femme,2024,AVG,"Soins, santé et aide sociale",20 à 99 employés,2627.5
Femme,2024,AVG,"Soins, santé et aide sociale",5 à 19 employés,12140
Femme,2024,AVG,"Soins, santé et aide sociale",Toutes les tailles,39845
Femme,2024,AVG,"Information, culture",1 à 4 employés,2005
Femme,2024,AVG,"Information, culture",100 employés et plus,0
Femme,2024,AVG,"Information, culture",20 à 99 employés,167.5
Femme,2024,AVG,"Information, culture",5 à 19 employés,637.5
Femme,2024,AVG,"Information, culture",Toutes les tailles,2810
Femme,2024,AVG,Fabrication,1 à 4 employés,2772.5
Femme,2024,AVG,Fabrication,100 employés et plus,25
Femme,2024,AVG,Fabrication,20 à 99 employés,557.5
Femme,2024,AVG,Fabrication,5 à 19 employés,2672.5
Femme,2024,AVG,Fabrication,Toutes les tailles,6027.5
Femme,2024,AVG,"Mines, carrières, extraction de pétrole et de gaz",1 à 4 employés,102.5
