REF_DATE,GEO,Wages,Type_of_work,National_Occupational_Classification__NOC_,Age_group,Homme,Femme,Ratio
1997,Canada,Salaire horaire moyen,Employées à temps plein,"Totales des employées, toutes les professions",25 à 54 années,18.75,15.5,0.8266666666666667
1997,Canada,Salaire horaire moyen,Employées à temps plein,Professions en gestion,25 à 54 années,24,19.23,0.80125
1997,Canada,Salaire horaire moyen,Employées à temps plein,Professions législatives et de haute direction,25 à 54 années,29.75,24.28,0.8161344537815126
1997,Canada,Salaire horaire moyen,Employées à temps plein,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,25 à 54 années,26.82,21.6,0.8053691275167786
1997,Canada,Salaire horaire moyen,Employées à temps plein,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",25 à 54 années,19.56,14.81,0.757157464212679
1997,Canada,Salaire horaire moyen,Employées à temps plein,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",25 à 54 années,22.95,18.14,0.7904139433551198
1997,Terre-Neuve-et-Labrador,Salaire horaire moyen,Employées à temps plein,"Totales des employées, toutes les professions",25 à 54 années,16.1,12.77,0.793167701863354
1997,Terre-Neuve-et-Labrador,Salaire horaire moyen,Employées à temps plein,Professions en gestion,25 à 54 années,21.08,14.78,0.7011385199240987
1997,Terre-Neuve-et-Labrador,Salaire horaire moyen,Employées à temps plein,Professions législatives et de haute direction,25 à 54 années,NA,NA,NA
1997,Terre-Neuve-et-Labrador,Salaire horaire moyen,Employées à temps plein,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,25 à 54 années,24.28,18.26,0.7520593080724877
1997,Terre-Neuve-et-Labrador,Salaire horaire moyen,Employées à temps plein,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",25 à 54 années,16.58,12.12,0.7310012062726177
1997,Terre-Neuve-et-Labrador,Salaire horaire moyen,Employées à temps plein,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",25 à 54 années,NA,NA,NA
1997,Île-du-Prince-Édouard,Salaire horaire moyen,Employées à temps plein,"Totales des employées, toutes les professions",25 à 54 années,13.91,12.31,0.8849748382458663
1997,Île-du-Prince-Édouard,Salaire horaire moyen,Employées à temps plein,Professions en gestion,25 à 54 années,19.86,14.33,0.7215508559919437
1997,Île-du-Prince-Édouard,Salaire horaire moyen,Employées à temps plein,Professions législatives et de haute direction,25 à 54 années,NA,NA,NA
1997,Île-du-Prince-Édouard,Salaire horaire moyen,Employées à temps plein,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,25 à 54 années,24,17.87,0.7445833333333334
1997,Île-du-Prince-Édouard,Salaire horaire moyen,Employées à temps plein,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",25 à 54 années,14.72,9.73,0.6610054347826086
1997,Île-du-Prince-Édouard,Salaire horaire moyen,Employées à temps plein,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",25 à 54 années,NA,NA,NA
1997,Nouvelle-Écosse,Salaire horaire moyen,Employées à temps plein,"Totales des employées, toutes les professions",25 à 54 années,15.72,12.99,0.8263358778625954
1997,Nouvelle-Écosse,Salaire horaire moyen,Employées à temps plein,Professions en gestion,25 à 54 années,20.25,16.15,0.7975308641975308
1997,Nouvelle-Écosse,Salaire horaire moyen,Employées à temps plein,Professions législatives et de haute direction,25 à 54 années,NA,NA,NA
1997,Nouvelle-Écosse,Salaire horaire moyen,Employées à temps plein,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,25 à 54 années,24.37,18.66,0.7656955272876487
1997,Nouvelle-Écosse,Salaire horaire moyen,Employées à temps plein,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",25 à 54 années,15.52,12.29,0.791881443298969
1997,Nouvelle-Écosse,Salaire horaire moyen,Employées à temps plein,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",25 à 54 années,NA,NA,NA
1997,Nouveau-Brunswick,Salaire horaire moyen,Employées à temps plein,"Totales des employées, toutes les professions",25 à 54 années,15.64,12.75,0.8152173913043478
1997,Nouveau-Brunswick,Salaire horaire moyen,Employées à temps plein,Professions en gestion,25 à 54 années,19.37,15.04,0.776458440887971
1997,Nouveau-Brunswick,Salaire horaire moyen,Employées à temps plein,Professions législatives et de haute direction,25 à 54 années,NA,NA,NA
1997,Nouveau-Brunswick,Salaire horaire moyen,Employées à temps plein,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,25 à 54 années,22.94,17.74,0.7733217088055797
1997,Nouveau-Brunswick,Salaire horaire moyen,Employées à temps plein,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",25 à 54 années,15.52,10.85,0.6990979381443299
1997,Nouveau-Brunswick,Salaire horaire moyen,Employées à temps plein,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",25 à 54 années,NA,NA,NA
1997,Québec,Salaire horaire moyen,Employées à temps plein,"Totales des employées, toutes les professions",25 à 54 années,17.88,15.05,0.8417225950782998
1997,Québec,Salaire horaire moyen,Employées à temps plein,Professions en gestion,25 à 54 années,22.79,18.52,0.812637121544537
1997,Québec,Salaire horaire moyen,Employées à temps plein,Professions législatives et de haute direction,25 à 54 années,28.16,23.97,0.8512073863636364
1997,Québec,Salaire horaire moyen,Employées à temps plein,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,25 à 54 années,26.2,21.2,0.8091603053435115
1997,Québec,Salaire horaire moyen,Employées à temps plein,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",25 à 54 années,17.81,13.66,0.7669848399775407
1997,Québec,Salaire horaire moyen,Employées à temps plein,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",25 à 54 années,22.64,16.82,0.7429328621908127
1997,Ontario,Salaire horaire moyen,Employées à temps plein,"Totales des employées, toutes les professions",25 à 54 années,19.68,16.46,0.8363821138211383
1997,Ontario,Salaire horaire moyen,Employées à temps plein,Professions en gestion,25 à 54 années,25.69,21.11,0.8217205138186064
1997,Ontario,Salaire horaire moyen,Employées à temps plein,Professions législatives et de haute direction,25 à 54 années,31.8,27.31,0.8588050314465409
1997,Ontario,Salaire horaire moyen,Employées à temps plein,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,25 à 54 années,28.17,23.25,0.825346112886049
1997,Ontario,Salaire horaire moyen,Employées à temps plein,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",25 à 54 années,21.46,16.32,0.7604846225535881
1997,Ontario,Salaire horaire moyen,Employées à temps plein,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",25 à 54 années,23.46,20.9,0.8908780903665813
1997,Manitoba,Salaire horaire moyen,Employées à temps plein,"Totales des employées, toutes les professions",25 à 54 années,17.06,14.01,0.821219226260258
1997,Manitoba,Salaire horaire moyen,Employées à temps plein,Professions en gestion,25 à 54 années,21.32,16.58,0.7776735459662288
1997,Manitoba,Salaire horaire moyen,Employées à temps plein,Professions législatives et de haute direction,25 à 54 années,NA,NA,NA
1997,Manitoba,Salaire horaire moyen,Employées à temps plein,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,25 à 54 années,24.47,18.18,0.7429505516959543
1997,Manitoba,Salaire horaire moyen,Employées à temps plein,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",25 à 54 années,18.18,13.48,0.7414741474147415
1997,Manitoba,Salaire horaire moyen,Employées à temps plein,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",25 à 54 années,19.1,17.34,0.9078534031413612
1997,Saskatchewan,Salaire horaire moyen,Employées à temps plein,"Totales des employées, toutes les professions",25 à 54 années,17.18,13.72,0.7986030267753201
1997,Saskatchewan,Salaire horaire moyen,Employées à temps plein,Professions en gestion,25 à 54 années,20.18,16.44,0.8146679881070368
1997,Saskatchewan,Salaire horaire moyen,Employées à temps plein,Professions législatives et de haute direction,25 à 54 années,26.03,19.22,0.7383787936995774
1997,Saskatchewan,Salaire horaire moyen,Employées à temps plein,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,25 à 54 années,22.69,18.95,0.8351696782723667
1997,Saskatchewan,Salaire horaire moyen,Employées à temps plein,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",25 à 54 années,15.8,11.89,0.7525316455696203
1997,Saskatchewan,Salaire horaire moyen,Employées à temps plein,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",25 à 54 années,20.83,13.33,0.6399423907825252
1997,Alberta,Salaire horaire moyen,Employées à temps plein,"Totales des employées, toutes les professions",25 à 54 années,18.51,14.43,0.779578606158833
1997,Alberta,Salaire horaire moyen,Employées à temps plein,Professions en gestion,25 à 54 années,23.32,17.51,0.7508576329331047
1997,Alberta,Salaire horaire moyen,Employées à temps plein,Professions législatives et de haute direction,25 à 54 années,NA,NA,NA
1997,Alberta,Salaire horaire moyen,Employées à temps plein,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,25 à 54 années,25.37,19.99,0.7879385100512415
1997,Alberta,Salaire horaire moyen,Employées à temps plein,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",25 à 54 années,19.56,13.18,0.6738241308793457
1997,Alberta,Salaire horaire moyen,Employées à temps plein,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",25 à 54 années,22.95,16.66,0.725925925925926
1997,Colombie-britannique,Salaire horaire moyen,Employées à temps plein,"Totales des employées, toutes les professions",25 à 54 années,20.24,16.54,0.8171936758893281
1997,Colombie-britannique,Salaire horaire moyen,Employées à temps plein,Professions en gestion,25 à 54 années,24.71,18.86,0.763253743423715
1997,Colombie-britannique,Salaire horaire moyen,Employées à temps plein,Professions législatives et de haute direction,25 à 54 années,29.02,23.51,0.8101309441764302
1997,Colombie-britannique,Salaire horaire moyen,Employées à temps plein,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,25 à 54 années,27.2,20.88,0.7676470588235293
1997,Colombie-britannique,Salaire horaire moyen,Employées à temps plein,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",25 à 54 années,20.45,15.98,0.7814180929095355
1997,Colombie-britannique,Salaire horaire moyen,Employées à temps plein,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",25 à 54 années,24.89,18.25,0.7332261952591402
1998,Canada,Salaire horaire moyen,Employées à temps plein,"Totales des employées, toutes les professions",25 à 54 années,19.01,15.69,0.8253550762756443
1998,Canada,Salaire horaire moyen,Employées à temps plein,Professions en gestion,25 à 54 années,24.12,18.86,0.7819237147595356
1998,Canada,Salaire horaire moyen,Employées à temps plein,Professions législatives et de haute direction,25 à 54 années,30.76,23.06,0.7496749024707411
1998,Canada,Salaire horaire moyen,Employées à temps plein,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,25 à 54 années,26.8,21.23,0.7921641791044776
1998,Canada,Salaire horaire moyen,Employées à temps plein,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",25 à 54 années,19.35,14.34,0.7410852713178294
1998,Canada,Salaire horaire moyen,Employées à temps plein,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",25 à 54 années,23.33,18.2,0.7801114444920704
1998,Terre-Neuve-et-Labrador,Salaire horaire moyen,Employées à temps plein,"Totales des employées, toutes les professions",25 à 54 années,16.17,12.87,0.7959183673469387
1998,Terre-Neuve-et-Labrador,Salaire horaire moyen,Employées à temps plein,Professions en gestion,25 à 54 années,18.99,14.82,0.7804107424960506
1998,Terre-Neuve-et-Labrador,Salaire horaire moyen,Employées à temps plein,Professions législatives et de haute direction,25 à 54 années,NA,NA,NA
1998,Terre-Neuve-et-Labrador,Salaire horaire moyen,Employées à temps plein,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,25 à 54 années,22.08,18.62,0.8432971014492755
1998,Terre-Neuve-et-Labrador,Salaire horaire moyen,Employées à temps plein,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",25 à 54 années,14.9,10.24,0.687248322147651
1998,Terre-Neuve-et-Labrador,Salaire horaire moyen,Employées à temps plein,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",25 à 54 années,NA,NA,NA
1998,Île-du-Prince-Édouard,Salaire horaire moyen,Employées à temps plein,"Totales des employées, toutes les professions",25 à 54 années,13.79,12.9,0.9354604786076868
1998,Île-du-Prince-Édouard,Salaire horaire moyen,Employées à temps plein,Professions en gestion,25 à 54 années,18.12,14.49,0.7996688741721854
1998,Île-du-Prince-Édouard,Salaire horaire moyen,Employées à temps plein,Professions législatives et de haute direction,25 à 54 années,NA,NA,NA
1998,Île-du-Prince-Édouard,Salaire horaire moyen,Employées à temps plein,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,25 à 54 années,21.01,18.05,0.8591147072822465
1998,Île-du-Prince-Édouard,Salaire horaire moyen,Employées à temps plein,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",25 à 54 années,15.04,10.61,0.7054521276595744
1998,Île-du-Prince-Édouard,Salaire horaire moyen,Employées à temps plein,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",25 à 54 années,NA,NA,NA
1998,Nouvelle-Écosse,Salaire horaire moyen,Employées à temps plein,"Totales des employées, toutes les professions",25 à 54 années,16,13.31,0.831875
1998,Nouvelle-Écosse,Salaire horaire moyen,Employées à temps plein,Professions en gestion,25 à 54 années,20.06,15.29,0.7622133599202393
1998,Nouvelle-Écosse,Salaire horaire moyen,Employées à temps plein,Professions législatives et de haute direction,25 à 54 années,28.28,19.79,0.6997878359264498
1998,Nouvelle-Écosse,Salaire horaire moyen,Employées à temps plein,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,25 à 54 années,21.95,18.25,0.8314350797266515
1998,Nouvelle-Écosse,Salaire horaire moyen,Employées à temps plein,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",25 à 54 années,17.01,11.17,0.6566725455614344
1998,Nouvelle-Écosse,Salaire horaire moyen,Employées à temps plein,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",25 à 54 années,NA,NA,NA
1998,Nouveau-Brunswick,Salaire horaire moyen,Employées à temps plein,"Totales des employées, toutes les professions",25 à 54 années,15.82,13.08,0.8268015170670038
1998,Nouveau-Brunswick,Salaire horaire moyen,Employées à temps plein,Professions en gestion,25 à 54 années,20.27,16.44,0.8110508140108535
1998,Nouveau-Brunswick,Salaire horaire moyen,Employées à temps plein,Professions législatives et de haute direction,25 à 54 années,NA,NA,NA
1998,Nouveau-Brunswick,Salaire horaire moyen,Employées à temps plein,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,25 à 54 années,24.02,18.68,0.7776852622814321
1998,Nouveau-Brunswick,Salaire horaire moyen,Employées à temps plein,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",25 à 54 années,16.11,11.43,0.7094972067039106
1998,Nouveau-Brunswick,Salaire horaire moyen,Employées à temps plein,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",25 à 54 années,NA,NA,NA
1998,Québec,Salaire horaire moyen,Employées à temps plein,"Totales des employées, toutes les professions",25 à 54 années,18.19,15.28,0.8400219901044529
1998,Québec,Salaire horaire moyen,Employées à temps plein,Professions en gestion,25 à 54 années,23.09,18.86,0.8168038111736682
1998,Québec,Salaire horaire moyen,Employées à temps plein,Professions législatives et de haute direction,25 à 54 années,32.27,22.79,0.7062286953827083
1998,Québec,Salaire horaire moyen,Employées à temps plein,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,25 à 54 années,25.53,20.74,0.8123775949862906
1998,Québec,Salaire horaire moyen,Employées à temps plein,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",25 à 54 années,17.61,15.28,0.8676888131743328
1998,Québec,Salaire horaire moyen,Employées à temps plein,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",25 à 54 années,22.17,18.57,0.8376184032476319
1998,Ontario,Salaire horaire moyen,Employées à temps plein,"Totales des employées, toutes les professions",25 à 54 années,19.83,16.52,0.8330811901159859
1998,Ontario,Salaire horaire moyen,Employées à temps plein,Professions en gestion,25 à 54 années,25.63,19.94,0.7779945376511901
1998,Ontario,Salaire horaire moyen,Employées à temps plein,Professions législatives et de haute direction,25 à 54 années,32.19,25.13,0.780677228953091
1998,Ontario,Salaire horaire moyen,Employées à temps plein,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,25 à 54 années,28.24,22.28,0.7889518413597735
1998,Ontario,Salaire horaire moyen,Employées à temps plein,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",25 à 54 années,20.7,14.69,0.7096618357487923
1998,Ontario,Salaire horaire moyen,Employées à temps plein,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",25 à 54 années,23.94,19.32,0.8070175438596491
1998,Manitoba,Salaire horaire moyen,Employées à temps plein,"Totales des employées, toutes les professions",25 à 54 années,17.3,14.05,0.8121387283236994
1998,Manitoba,Salaire horaire moyen,Employées à temps plein,Professions en gestion,25 à 54 années,21.45,17.12,0.7981351981351982
1998,Manitoba,Salaire horaire moyen,Employées à temps plein,Professions législatives et de haute direction,25 à 54 années,27.47,19.26,0.7011285038223517
1998,Manitoba,Salaire horaire moyen,Employées à temps plein,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,25 à 54 années,23.83,18.91,0.7935375577003777
1998,Manitoba,Salaire horaire moyen,Employées à temps plein,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",25 à 54 années,18.23,12.99,0.7125617114646188
