REF_DATE,Date,GEO,Labour_force_characteristics,Educational_attainment,Gender,Age_group,VALUE,Classification_Code_for_Labour_force_characteristics,Classification_Code_for_Educational_attainment,Classification_Code_for_Gender,Classification_Code_for_Age_group
1990,1990-07-01,Canada,Participation rate,"Total, all education levels",Women+,25 to 54 years,75.5,NA,NA,NA,NA
1990,1990-07-01,Canada,Employment rate,"Total, all education levels",Women+,25 to 54 years,69.8,NA,NA,NA,NA
1990,1990-07-01,Newfoundland and Labrador,Participation rate,"Total, all education levels",Women+,25 to 54 years,64.5,NA,NA,NA,NA
1990,1990-07-01,Newfoundland and Labrador,Employment rate,"Total, all education levels",Women+,25 to 54 years,54.3,NA,NA,NA,NA
1990,1990-07-01,Prince Edward Island,Participation rate,"Total, all education levels",Women+,25 to 54 years,78.4,NA,NA,NA,NA
1990,1990-07-01,Prince Edward Island,Employment rate,"Total, all education levels",Women+,25 to 54 years,66.7,NA,NA,NA,NA
1990,1990-07-01,Nova Scotia,Participation rate,"Total, all education levels",Women+,25 to 54 years,71.1,NA,NA,NA,NA
1990,1990-07-01,Nova Scotia,Employment rate,"Total, all education levels",Women+,25 to 54 years,63.9,NA,NA,NA,NA
1990,1990-07-01,New Brunswick,Participation rate,"Total, all education levels",Women+,25 to 54 years,69,NA,NA,NA,NA
1990,1990-07-01,New Brunswick,Employment rate,"Total, all education levels",Women+,25 to 54 years,61.6,NA,NA,NA,NA
1990,1990-07-01,Quebec,Participation rate,"Total, all education levels",Women+,25 to 54 years,71,NA,NA,NA,NA
1990,1990-07-01,Quebec,Employment rate,"Total, all education levels",Women+,25 to 54 years,63.8,NA,NA,NA,NA
1990,1990-07-01,Ontario,Participation rate,"Total, all education levels",Women+,25 to 54 years,78.6,NA,NA,NA,NA
1990,1990-07-01,Ontario,Employment rate,"Total, all education levels",Women+,25 to 54 years,74.2,NA,NA,NA,NA
1990,1990-07-01,Manitoba,Participation rate,"Total, all education levels",Women+,25 to 54 years,78.3,NA,NA,NA,NA
1990,1990-07-01,Manitoba,Employment rate,"Total, all education levels",Women+,25 to 54 years,73.3,NA,NA,NA,NA
1990,1990-07-01,Saskatchewan,Participation rate,"Total, all education levels",Women+,25 to 54 years,78.5,NA,NA,NA,NA
1990,1990-07-01,Saskatchewan,Employment rate,"Total, all education levels",Women+,25 to 54 years,73.8,NA,NA,NA,NA
