REF_DATE,Date,GEO,Labour_force_characteristics,Educational_attainment,Gender,Age_group,VALUE,Classification_Code_for_Labour_force_characteristics,Classification_Code_for_Educational_attainment,Classification_Code_for_Gender,Classification_Code_for_Age_group
1990,1990-07-01,Canada,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,75.5,NA,NA,NA,NA
1990,1990-07-01,Canada,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,69.8,NA,NA,NA,NA
1990,1990-07-01,Terre-Neuve-et-Labrador,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,64.5,NA,NA,NA,NA
1990,1990-07-01,Terre-Neuve-et-Labrador,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,54.3,NA,NA,NA,NA
1990,1990-07-01,Île-du-Prince-Édouard,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,78.4,NA,NA,NA,NA
1990,1990-07-01,Île-du-Prince-Édouard,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,66.7,NA,NA,NA,NA
1990,1990-07-01,Nouvelle-Écosse,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,71.1,NA,NA,NA,NA
1990,1990-07-01,Nouvelle-Écosse,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,63.9,NA,NA,NA,NA
1990,1990-07-01,Nouveau-Brunswick,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,69,NA,NA,NA,NA
1990,1990-07-01,Nouveau-Brunswick,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,61.6,NA,NA,NA,NA
1990,1990-07-01,Québec,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,71,NA,NA,NA,NA
1990,1990-07-01,Québec,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,63.8,NA,NA,NA,NA
1990,1990-07-01,Ontario,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,78.6,NA,NA,NA,NA
1990,1990-07-01,Ontario,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,74.2,NA,NA,NA,NA
1990,1990-07-01,Manitoba,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,78.3,NA,NA,NA,NA
1990,1990-07-01,Manitoba,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,73.3,NA,NA,NA,NA
1990,1990-07-01,Saskatchewan,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,78.5,NA,NA,NA,NA
1990,1990-07-01,Saskatchewan,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,73.8,NA,NA,NA,NA
1990,1990-07-01,Alberta,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,78.2,NA,NA,NA,NA
1990,1990-07-01,Alberta,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,73.2,NA,NA,NA,NA
1990,1990-07-01,Colombie-britannique,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,76,NA,NA,NA,NA
1990,1990-07-01,Colombie-britannique,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,70,NA,NA,NA,NA
1991,1991-07-01,Canada,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,75.9,NA,NA,NA,NA
1991,1991-07-01,Canada,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,69,NA,NA,NA,NA
1991,1991-07-01,Terre-Neuve-et-Labrador,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,64.8,NA,NA,NA,NA
1991,1991-07-01,Terre-Neuve-et-Labrador,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,54.7,NA,NA,NA,NA
1991,1991-07-01,Île-du-Prince-Édouard,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,78.9,NA,NA,NA,NA
1991,1991-07-01,Île-du-Prince-Édouard,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,66.2,NA,NA,NA,NA
1991,1991-07-01,Nouvelle-Écosse,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,71.8,NA,NA,NA,NA
