Country,Status*,Notes,Year enacted
Argentina,1,,Apr-93
Armenia,1,,Mar-99
Barbados,1,,Jan-97
Benin,1,,May-14
Burkina Faso,1,,Oct-17
Cameroon,1,,Dec-16
China,1,,Oct-14
Costa Rica,1,,Sep-99
Côte D'Ivoire,1,,Dec-15
Croatia,1,,Jan-01
Czech Republic,1,,Jan-12
Ecuador,1,,Jun-97
Egypt,1,,Nov-97
Guinea,1,,Mar-17
Hong Kong,1,,Sep-16
Hungary,1,,Nov-93
Jordan,1,,Dec-09
Kosovo,1,,Dec-18
Kuwait,1,,Feb-14
Latvia,1,,Nov-11
Lebanon,1,,Jun-99
Mali,1,,Jun-16
Mongolia,1,,Feb-17
Panama,1,,Feb-98
Peru,1,,Jun-07
Philippines,1,,Nov-96
Poland,1,,Nov-90
Romania,1,,Nov-11
Russia,1,,Jun-91
Senegal,1,,Aug-16
Serbia,1,,Apr-15
Slovak Republic,1,,Mar-12
Tanzania,1,,Dec-13
Thailand,1,,Sep-98
Trinidad and Tobago,1,,Jul-96
Ukraine,1,,Jul-95
Uruguay,1,,Jun-99
Venezuela,1,,Jan-98
