Number,Country,Status,Notes
1,United States,1,CUSMA
2,Mexico,1,CUSMA & CPTPP
3,Chile,1,FTA & CPTPP (not yet in force)
4,Israel,1,CIFTA
5,Costa Rica,1,FTA
6,Peru,1,FTA & CPTPP (not yet in force)
7,Iceland,1,EFTA
8,Liechtenstein,1,EFTA
9,Norway,1,EFTA
10,Switzerland,1,EFTA
11,Colombia,1,FTA
12,Jordan,1,FTA
13,Panama,1,FTA
14,Honduras,1,FTA
15,South Korea,1,CKFTA
16,Ukraine,1,CUFTA
17,Austria,1,CETA (European Union)
18,Belgium,1,CETA (European Union)
19,Bulgaria,1,CETA (European Union)
20,Croatia,1,CETA (European Union)
21,Cyprus,1,CETA (European Union)
22,Czech Republic,1,CETA (European Union)
23,Denmark,1,CETA (European Union)
24,Estonia,1,CETA (European Union)
25,Finland,1,CETA (European Union)
26,France,1,CETA (European Union)
27,Germany,1,CETA (European Union)
28,Greece,1,CETA (European Union)
29,Hungary,1,CETA (European Union)
30,Ireland,1,CETA (European Union)
31,Italy,1,CETA (European Union)
32,Latvia,1,CETA (European Union)
33,Lithuania,1,CETA (European Union)
34,Luxembourg,1,CETA (European Union)
35,Malta,1,CETA (European Union)
36,Netherlands,1,CETA (European Union)
37,Poland,1,CETA (European Union)
38,Portugal,1,CETA (European Union)
39,Romania,1,CETA (European Union)
40,Slovak Republic,1,CETA (European Union)
41,Slovenia,1,CETA (European Union)
42,Spain,1,CETA (European Union)
43,Sweden,1,CETA (European Union)
44,United Kingdom,1,Can-UK TCA
45,Japan,1,CPTPP
46,Singapore,1,CPTPP
47,Australia,1,CPTPP
48,New Zealand,1,CPTPP
49,Vietnam,1,CPTPP
50,Brunei,1,CPTPP (not yet in force)
51,Malaysia,1,CPTPP (not yet in force)
