REF_DATE,GEO,Labour_force_characteristics,National_Occupational_Classification__NOC_,Gender,VALUE
1997,Canada,Proportion of employment,"Total, all occupations",Men,54.5
1997,Canada,Proportion of employment,"Total, all occupations",Women,45.5
1997,Canada,Proportion of employment,Management occupations,Men,64.9
1997,Canada,Proportion of employment,Management occupations,Women,35.1
1997,Canada,Proportion of employment,Legislative and senior management occupations,Men,72.9
1997,Canada,Proportion of employment,Legislative and senior management occupations,Women,27.1
1997,Canada,Proportion of employment,Specialized middle management occupations,Men,53.2
1997,Canada,Proportion of employment,Specialized middle management occupations,Women,46.8
1997,Canada,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Men,60.4
1997,Canada,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Women,39.6
1997,Canada,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Men,80.4
1997,Canada,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Women,19.6
1997,Newfoundland and Labrador,Proportion of employment,"Total, all occupations",Men,54
1997,Newfoundland and Labrador,Proportion of employment,"Total, all occupations",Women,46
1997,Newfoundland and Labrador,Proportion of employment,Management occupations,Men,63.2
1997,Newfoundland and Labrador,Proportion of employment,Management occupations,Women,36.8
1997,Newfoundland and Labrador,Proportion of employment,Legislative and senior management occupations,Men,NA
1997,Newfoundland and Labrador,Proportion of employment,Legislative and senior management occupations,Women,NA
1997,Newfoundland and Labrador,Proportion of employment,Specialized middle management occupations,Men,58.7
1997,Newfoundland and Labrador,Proportion of employment,Specialized middle management occupations,Women,41.3
1997,Newfoundland and Labrador,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Men,56.7
1997,Newfoundland and Labrador,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Women,43.3
1997,Newfoundland and Labrador,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Men,NA
1997,Newfoundland and Labrador,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Women,NA
1997,Prince Edward Island,Proportion of employment,"Total, all occupations",Men,52.6
1997,Prince Edward Island,Proportion of employment,"Total, all occupations",Women,47.4
1997,Prince Edward Island,Proportion of employment,Management occupations,Men,68.2
1997,Prince Edward Island,Proportion of employment,Management occupations,Women,31.8
1997,Prince Edward Island,Proportion of employment,Legislative and senior management occupations,Men,NA
1997,Prince Edward Island,Proportion of employment,Legislative and senior management occupations,Women,NA
1997,Prince Edward Island,Proportion of employment,Specialized middle management occupations,Men,53.3
1997,Prince Edward Island,Proportion of employment,Specialized middle management occupations,Women,46.7
1997,Prince Edward Island,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Men,54.2
1997,Prince Edward Island,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Women,45.8
1997,Prince Edward Island,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Men,91.7
1997,Prince Edward Island,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Women,8.3
1997,Nova Scotia,Proportion of employment,"Total, all occupations",Men,53
1997,Nova Scotia,Proportion of employment,"Total, all occupations",Women,47
1997,Nova Scotia,Proportion of employment,Management occupations,Men,62.7
1997,Nova Scotia,Proportion of employment,Management occupations,Women,37.3
1997,Nova Scotia,Proportion of employment,Legislative and senior management occupations,Men,NA
1997,Nova Scotia,Proportion of employment,Legislative and senior management occupations,Women,NA
1997,Nova Scotia,Proportion of employment,Specialized middle management occupations,Men,50.4
1997,Nova Scotia,Proportion of employment,Specialized middle management occupations,Women,49.6
1997,Nova Scotia,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Men,61.4
1997,Nova Scotia,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Women,39.1
1997,Nova Scotia,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Men,86.6
1997,Nova Scotia,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Women,11.9
1997,New Brunswick,Proportion of employment,"Total, all occupations",Men,54.2
1997,New Brunswick,Proportion of employment,"Total, all occupations",Women,45.8
1997,New Brunswick,Proportion of employment,Management occupations,Men,62.8
1997,New Brunswick,Proportion of employment,Management occupations,Women,37.2
1997,New Brunswick,Proportion of employment,Legislative and senior management occupations,Men,NA
1997,New Brunswick,Proportion of employment,Legislative and senior management occupations,Women,NA
1997,New Brunswick,Proportion of employment,Specialized middle management occupations,Men,52.2
1997,New Brunswick,Proportion of employment,Specialized middle management occupations,Women,46.7
1997,New Brunswick,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Men,57.9
1997,New Brunswick,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Women,42.1
1997,New Brunswick,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Men,88.7
1997,New Brunswick,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Women,13.2
1997,Quebec,Proportion of employment,"Total, all occupations",Men,55.1
1997,Quebec,Proportion of employment,"Total, all occupations",Women,44.9
1997,Quebec,Proportion of employment,Management occupations,Men,65.1
1997,Quebec,Proportion of employment,Management occupations,Women,34.9
1997,Quebec,Proportion of employment,Legislative and senior management occupations,Men,72.9
1997,Quebec,Proportion of employment,Legislative and senior management occupations,Women,27.1
1997,Quebec,Proportion of employment,Specialized middle management occupations,Men,48.9
1997,Quebec,Proportion of employment,Specialized middle management occupations,Women,51
1997,Quebec,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Men,63.8
1997,Quebec,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Women,36.1
1997,Quebec,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Men,83
1997,Quebec,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Women,17
1997,Ontario,Proportion of employment,"Total, all occupations",Men,54.3
1997,Ontario,Proportion of employment,"Total, all occupations",Women,45.7
1997,Ontario,Proportion of employment,Management occupations,Men,64
1997,Ontario,Proportion of employment,Management occupations,Women,36
1997,Ontario,Proportion of employment,Legislative and senior management occupations,Men,75.6
1997,Ontario,Proportion of employment,Legislative and senior management occupations,Women,24.4
1997,Ontario,Proportion of employment,Specialized middle management occupations,Men,54
1997,Ontario,Proportion of employment,Specialized middle management occupations,Women,46
1997,Ontario,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Men,59.8
1997,Ontario,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Women,40.2
1997,Ontario,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Men,81.1
1997,Ontario,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Women,18.9
1997,Manitoba,Proportion of employment,"Total, all occupations",Men,54.4
1997,Manitoba,Proportion of employment,"Total, all occupations",Women,45.6
1997,Manitoba,Proportion of employment,Management occupations,Men,69.3
1997,Manitoba,Proportion of employment,Management occupations,Women,30.7
1997,Manitoba,Proportion of employment,Legislative and senior management occupations,Men,77.8
1997,Manitoba,Proportion of employment,Legislative and senior management occupations,Women,22.2
1997,Manitoba,Proportion of employment,Specialized middle management occupations,Men,52.2
1997,Manitoba,Proportion of employment,Specialized middle management occupations,Women,47.8
1997,Manitoba,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Men,62.9
1997,Manitoba,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Women,37.1
1997,Manitoba,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Men,80.7
1997,Manitoba,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Women,19.3
1997,Saskatchewan,Proportion of employment,"Total, all occupations",Men,55.1
1997,Saskatchewan,Proportion of employment,"Total, all occupations",Women,44.9
1997,Saskatchewan,Proportion of employment,Management occupations,Men,71.9
1997,Saskatchewan,Proportion of employment,Management occupations,Women,28.1
1997,Saskatchewan,Proportion of employment,Legislative and senior management occupations,Men,59.3
1997,Saskatchewan,Proportion of employment,Legislative and senior management occupations,Women,37
1997,Saskatchewan,Proportion of employment,Specialized middle management occupations,Men,58.3
1997,Saskatchewan,Proportion of employment,Specialized middle management occupations,Women,41
1997,Saskatchewan,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Men,63.1
1997,Saskatchewan,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Women,36.9
