REF_DATE,GEO,Labour_force_characteristics,National_Occupational_Classification__NOC_,Gender,VALUE
1997,Canada,Proportion d'emplois,"Total, toutes les professions",Homme+,54.5
1997,Canada,Proportion d'emplois,"Total, toutes les professions",Femme+,45.5
1997,Canada,Proportion d'emplois,Professions en gestion,Homme+,64.9
1997,Canada,Proportion d'emplois,Professions en gestion,Femme+,35.1
1997,Canada,Proportion d'emplois,Professions législatives et de haute direction,Homme+,72.9
1997,Canada,Proportion d'emplois,Professions législatives et de haute direction,Femme+,27.1
1997,Canada,Proportion d'emplois,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Homme+,53.2
1997,Canada,Proportion d'emplois,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Femme+,46.8
1997,Canada,Proportion d'emplois,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Homme+,60.4
1997,Canada,Proportion d'emplois,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Femme+,39.6
1997,Canada,Proportion d'emplois,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",Homme+,80.4
1997,Canada,Proportion d'emplois,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",Femme+,19.6
1997,Terre-Neuve-et-Labrador,Proportion d'emplois,"Total, toutes les professions",Homme+,54
1997,Terre-Neuve-et-Labrador,Proportion d'emplois,"Total, toutes les professions",Femme+,46
1997,Terre-Neuve-et-Labrador,Proportion d'emplois,Professions en gestion,Homme+,63.2
1997,Terre-Neuve-et-Labrador,Proportion d'emplois,Professions en gestion,Femme+,36.8
1997,Terre-Neuve-et-Labrador,Proportion d'emplois,Professions législatives et de haute direction,Homme+,NA
1997,Terre-Neuve-et-Labrador,Proportion d'emplois,Professions législatives et de haute direction,Femme+,NA
1997,Terre-Neuve-et-Labrador,Proportion d'emplois,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Homme+,58.7
1997,Terre-Neuve-et-Labrador,Proportion d'emplois,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Femme+,41.3
1997,Terre-Neuve-et-Labrador,Proportion d'emplois,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Homme+,56.7
1997,Terre-Neuve-et-Labrador,Proportion d'emplois,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Femme+,43.3
1997,Terre-Neuve-et-Labrador,Proportion d'emplois,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",Homme+,NA
1997,Terre-Neuve-et-Labrador,Proportion d'emplois,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",Femme+,NA
1997,Île-du-Prince-Édouard,Proportion d'emplois,"Total, toutes les professions",Homme+,52.6
1997,Île-du-Prince-Édouard,Proportion d'emplois,"Total, toutes les professions",Femme+,47.4
1997,Île-du-Prince-Édouard,Proportion d'emplois,Professions en gestion,Homme+,68.2
1997,Île-du-Prince-Édouard,Proportion d'emplois,Professions en gestion,Femme+,31.8
1997,Île-du-Prince-Édouard,Proportion d'emplois,Professions législatives et de haute direction,Homme+,NA
1997,Île-du-Prince-Édouard,Proportion d'emplois,Professions législatives et de haute direction,Femme+,NA
1997,Île-du-Prince-Édouard,Proportion d'emplois,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Homme+,53.3
1997,Île-du-Prince-Édouard,Proportion d'emplois,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Femme+,46.7
1997,Île-du-Prince-Édouard,Proportion d'emplois,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Homme+,54.2
1997,Île-du-Prince-Édouard,Proportion d'emplois,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Femme+,45.8
1997,Île-du-Prince-Édouard,Proportion d'emplois,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",Homme+,91.7
1997,Île-du-Prince-Édouard,Proportion d'emplois,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",Femme+,8.3
1997,Nouvelle-Écosse,Proportion d'emplois,"Total, toutes les professions",Homme+,53
1997,Nouvelle-Écosse,Proportion d'emplois,"Total, toutes les professions",Femme+,47
1997,Nouvelle-Écosse,Proportion d'emplois,Professions en gestion,Homme+,62.7
1997,Nouvelle-Écosse,Proportion d'emplois,Professions en gestion,Femme+,37.3
1997,Nouvelle-Écosse,Proportion d'emplois,Professions législatives et de haute direction,Homme+,NA
1997,Nouvelle-Écosse,Proportion d'emplois,Professions législatives et de haute direction,Femme+,NA
1997,Nouvelle-Écosse,Proportion d'emplois,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Homme+,50.4
1997,Nouvelle-Écosse,Proportion d'emplois,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Femme+,49.6
1997,Nouvelle-Écosse,Proportion d'emplois,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Homme+,61.4
1997,Nouvelle-Écosse,Proportion d'emplois,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Femme+,39.1
1997,Nouvelle-Écosse,Proportion d'emplois,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",Homme+,86.6
1997,Nouvelle-Écosse,Proportion d'emplois,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",Femme+,11.9
1997,Nouveau-Brunswick,Proportion d'emplois,"Total, toutes les professions",Homme+,54.2
1997,Nouveau-Brunswick,Proportion d'emplois,"Total, toutes les professions",Femme+,45.8
1997,Nouveau-Brunswick,Proportion d'emplois,Professions en gestion,Homme+,62.8
1997,Nouveau-Brunswick,Proportion d'emplois,Professions en gestion,Femme+,37.2
1997,Nouveau-Brunswick,Proportion d'emplois,Professions législatives et de haute direction,Homme+,NA
1997,Nouveau-Brunswick,Proportion d'emplois,Professions législatives et de haute direction,Femme+,NA
