date,description,count,Macrobond_Code
2019-01-07,Canada: Airport Passengers Screened: Eight Largest Airports (Number),144461,CA8STA@TRANSPRT
2019-01-07,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),160526,CAFSTA@TRANSPRT
2019-01-08,Canada: Airport Passengers Screened: Eight Largest Airports (Number),135122,CA8STA@TRANSPRT
2019-01-08,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),150842,CAFSTA@TRANSPRT
2019-01-09,Canada: Airport Passengers Screened: Eight Largest Airports (Number),134642,CA8STA@TRANSPRT
2019-01-09,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),149677,CAFSTA@TRANSPRT
2019-01-10,Canada: Airport Passengers Screened: Eight Largest Airports (Number),138792,CA8STA@TRANSPRT
2019-01-10,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),155343,CAFSTA@TRANSPRT
2019-01-11,Canada: Airport Passengers Screened: Eight Largest Airports (Number),144526,CA8STA@TRANSPRT
2019-01-11,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),161604,CAFSTA@TRANSPRT
2019-01-14,Canada: Airport Passengers Screened: Eight Largest Airports (Number),134455,CA8STA@TRANSPRT
2019-01-14,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),149214,CAFSTA@TRANSPRT
2019-01-15,Canada: Airport Passengers Screened: Eight Largest Airports (Number),127668,CA8STA@TRANSPRT
2019-01-15,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),143389,CAFSTA@TRANSPRT
2019-01-16,Canada: Airport Passengers Screened: Eight Largest Airports (Number),134688,CA8STA@TRANSPRT
2019-01-16,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),149725,CAFSTA@TRANSPRT
2019-01-17,Canada: Airport Passengers Screened: Eight Largest Airports (Number),141897,CA8STA@TRANSPRT
2019-01-17,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),158504,CAFSTA@TRANSPRT
2019-01-18,Canada: Airport Passengers Screened: Eight Largest Airports (Number),147470,CA8STA@TRANSPRT
2019-01-18,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),165691,CAFSTA@TRANSPRT
2019-01-21,Canada: Airport Passengers Screened: Eight Largest Airports (Number),148867,CA8STA@TRANSPRT
2019-01-21,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),164130,CAFSTA@TRANSPRT
2019-01-22,Canada: Airport Passengers Screened: Eight Largest Airports (Number),131219,CA8STA@TRANSPRT
2019-01-22,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),146808,CAFSTA@TRANSPRT
2019-01-23,Canada: Airport Passengers Screened: Eight Largest Airports (Number),131367,CA8STA@TRANSPRT
2019-01-23,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),146052,CAFSTA@TRANSPRT
2019-01-24,Canada: Airport Passengers Screened: Eight Largest Airports (Number),147413,CA8STA@TRANSPRT
2019-01-24,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),164927,CAFSTA@TRANSPRT
2019-01-25,Canada: Airport Passengers Screened: Eight Largest Airports (Number),154204,CA8STA@TRANSPRT
2019-01-25,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),173001,CAFSTA@TRANSPRT
2019-01-28,Canada: Airport Passengers Screened: Eight Largest Airports (Number),131512,CA8STA@TRANSPRT
2019-01-28,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),146259,CAFSTA@TRANSPRT
2019-01-29,Canada: Airport Passengers Screened: Eight Largest Airports (Number),129139,CA8STA@TRANSPRT
2019-01-29,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),143918,CAFSTA@TRANSPRT
2019-01-30,Canada: Airport Passengers Screened: Eight Largest Airports (Number),136468,CA8STA@TRANSPRT
2019-01-30,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),151915,CAFSTA@TRANSPRT
2019-01-31,Canada: Airport Passengers Screened: Eight Largest Airports (Number),148342,CA8STA@TRANSPRT
2019-01-31,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),166121,CAFSTA@TRANSPRT
2019-02-01,Canada: Airport Passengers Screened: Eight Largest Airports (Number),161140,CA8STA@TRANSPRT
2019-02-01,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),179796,CAFSTA@TRANSPRT
2019-02-04,Canada: Airport Passengers Screened: Eight Largest Airports (Number),148787,CA8STA@TRANSPRT
2019-02-04,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),164243,CAFSTA@TRANSPRT
2019-02-05,Canada: Airport Passengers Screened: Eight Largest Airports (Number),133026,CA8STA@TRANSPRT
2019-02-05,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),147906,CAFSTA@TRANSPRT
2019-02-06,Canada: Airport Passengers Screened: Eight Largest Airports (Number),132242,CA8STA@TRANSPRT
2019-02-06,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),146792,CAFSTA@TRANSPRT
2019-02-07,Canada: Airport Passengers Screened: Eight Largest Airports (Number),150691,CA8STA@TRANSPRT
2019-02-07,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),167365,CAFSTA@TRANSPRT
2019-02-08,Canada: Airport Passengers Screened: Eight Largest Airports (Number),159709,CA8STA@TRANSPRT
2019-02-08,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),178547,CAFSTA@TRANSPRT
2019-02-11,Canada: Airport Passengers Screened: Eight Largest Airports (Number),153592,CA8STA@TRANSPRT
2019-02-11,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),169305,CAFSTA@TRANSPRT
2019-02-12,Canada: Airport Passengers Screened: Eight Largest Airports (Number),129178,CA8STA@TRANSPRT
2019-02-12,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),142282,CAFSTA@TRANSPRT
2019-02-13,Canada: Airport Passengers Screened: Eight Largest Airports (Number),48685,CA8STA@TRANSPRT
2019-02-13,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),53645,CAFSTA@TRANSPRT
2019-02-14,Canada: Airport Passengers Screened: Eight Largest Airports (Number),157836,CA8STA@TRANSPRT
2019-02-14,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),175532,CAFSTA@TRANSPRT
2019-02-15,Canada: Airport Passengers Screened: Eight Largest Airports (Number),179955,CA8STA@TRANSPRT
2019-02-15,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),201502,CAFSTA@TRANSPRT
2019-02-18,Canada: Airport Passengers Screened: Eight Largest Airports (Number),160932,CA8STA@TRANSPRT
2019-02-18,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),178128,CAFSTA@TRANSPRT
2019-02-19,Canada: Airport Passengers Screened: Eight Largest Airports (Number),153354,CA8STA@TRANSPRT
2019-02-19,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),169677,CAFSTA@TRANSPRT
2019-02-20,Canada: Airport Passengers Screened: Eight Largest Airports (Number),143638,CA8STA@TRANSPRT
2019-02-20,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),159413,CAFSTA@TRANSPRT
2019-02-21,Canada: Airport Passengers Screened: Eight Largest Airports (Number),160761,CA8STA@TRANSPRT
2019-02-21,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),178209,CAFSTA@TRANSPRT
2019-02-22,Canada: Airport Passengers Screened: Eight Largest Airports (Number),170169,CA8STA@TRANSPRT
2019-02-22,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),189374,CAFSTA@TRANSPRT
2019-02-25,Canada: Airport Passengers Screened: Eight Largest Airports (Number),156996,CA8STA@TRANSPRT
2019-02-25,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),173891,CAFSTA@TRANSPRT
2019-02-26,Canada: Airport Passengers Screened: Eight Largest Airports (Number),145067,CA8STA@TRANSPRT
2019-02-26,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),161152,CAFSTA@TRANSPRT
2019-02-27,Canada: Airport Passengers Screened: Eight Largest Airports (Number),147168,CA8STA@TRANSPRT
2019-02-27,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),163237,CAFSTA@TRANSPRT
2019-02-28,Canada: Airport Passengers Screened: Eight Largest Airports (Number),167710,CA8STA@TRANSPRT
2019-02-28,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),186499,CAFSTA@TRANSPRT
2019-03-01,Canada: Airport Passengers Screened: Eight Largest Airports (Number),175216,CA8STA@TRANSPRT
2019-03-01,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),194142,CAFSTA@TRANSPRT
2019-03-04,Canada: Airport Passengers Screened: Eight Largest Airports (Number),155017,CA8STA@TRANSPRT
2019-03-04,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),170585,CAFSTA@TRANSPRT
2019-03-05,Canada: Airport Passengers Screened: Eight Largest Airports (Number),148162,CA8STA@TRANSPRT
2019-03-05,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),163267,CAFSTA@TRANSPRT
2019-03-06,Canada: Airport Passengers Screened: Eight Largest Airports (Number),151746,CA8STA@TRANSPRT
2019-03-06,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),168111,CAFSTA@TRANSPRT
2019-03-07,Canada: Airport Passengers Screened: Eight Largest Airports (Number),160585,CA8STA@TRANSPRT
2019-03-07,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),178111,CAFSTA@TRANSPRT
2019-03-08,Canada: Airport Passengers Screened: Eight Largest Airports (Number),170048,CA8STA@TRANSPRT
2019-03-08,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),188729,CAFSTA@TRANSPRT
2019-03-11,Canada: Airport Passengers Screened: Eight Largest Airports (Number),157824,CA8STA@TRANSPRT
2019-03-11,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),174642,CAFSTA@TRANSPRT
2019-03-12,Canada: Airport Passengers Screened: Eight Largest Airports (Number),142069,CA8STA@TRANSPRT
2019-03-12,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),157134,CAFSTA@TRANSPRT
2019-03-13,Canada: Airport Passengers Screened: Eight Largest Airports (Number),145594,CA8STA@TRANSPRT
2019-03-13,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),162249,CAFSTA@TRANSPRT
2019-03-14,Canada: Airport Passengers Screened: Eight Largest Airports (Number),152573,CA8STA@TRANSPRT
2019-03-14,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),171002,CAFSTA@TRANSPRT
2019-03-15,Canada: Airport Passengers Screened: Eight Largest Airports (Number),162230,CA8STA@TRANSPRT
2019-03-15,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),182003,CAFSTA@TRANSPRT
2019-03-18,Canada: Airport Passengers Screened: Eight Largest Airports (Number),149385,CA8STA@TRANSPRT
2019-03-18,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),167154,CAFSTA@TRANSPRT
2019-03-19,Canada: Airport Passengers Screened: Eight Largest Airports (Number),138625,CA8STA@TRANSPRT
2019-03-19,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),154914,CAFSTA@TRANSPRT
2019-03-20,Canada: Airport Passengers Screened: Eight Largest Airports (Number),144111,CA8STA@TRANSPRT
2019-03-20,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),160539,CAFSTA@TRANSPRT
2019-03-21,Canada: Airport Passengers Screened: Eight Largest Airports (Number),151291,CA8STA@TRANSPRT
2019-03-21,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),169450,CAFSTA@TRANSPRT
2019-03-22,Canada: Airport Passengers Screened: Eight Largest Airports (Number),162087,CA8STA@TRANSPRT
2019-03-22,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),180696,CAFSTA@TRANSPRT
2019-03-25,Canada: Airport Passengers Screened: Eight Largest Airports (Number),147795,CA8STA@TRANSPRT
2019-03-25,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),164081,CAFSTA@TRANSPRT
2019-03-26,Canada: Airport Passengers Screened: Eight Largest Airports (Number),134682,CA8STA@TRANSPRT
2019-03-26,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),149993,CAFSTA@TRANSPRT
2019-03-27,Canada: Airport Passengers Screened: Eight Largest Airports (Number),137889,CA8STA@TRANSPRT
2019-03-27,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),154199,CAFSTA@TRANSPRT
2019-03-28,Canada: Airport Passengers Screened: Eight Largest Airports (Number),144743,CA8STA@TRANSPRT
2019-03-28,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),162493,CAFSTA@TRANSPRT
2019-03-29,Canada: Airport Passengers Screened: Eight Largest Airports (Number),147914,CA8STA@TRANSPRT
2019-03-29,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),166794,CAFSTA@TRANSPRT
2019-04-01,Canada: Airport Passengers Screened: Eight Largest Airports (Number),144329,CA8STA@TRANSPRT
2019-04-01,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),160574,CAFSTA@TRANSPRT
2019-04-02,Canada: Airport Passengers Screened: Eight Largest Airports (Number),128820,CA8STA@TRANSPRT
2019-04-02,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),143737,CAFSTA@TRANSPRT
2019-04-03,Canada: Airport Passengers Screened: Eight Largest Airports (Number),136826,CA8STA@TRANSPRT
2019-04-03,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),151879,CAFSTA@TRANSPRT
2019-04-04,Canada: Airport Passengers Screened: Eight Largest Airports (Number),147454,CA8STA@TRANSPRT
