"dataPoints.date","dataPoints.nSeriesData","description","Haver_code"
"1987-01-01",705,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1987-02-01",711,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1987-03-01",751,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1987-04-01",649,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1987-05-01",645,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1987-06-01",713,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1987-07-01",575,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1987-08-01",591,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1987-09-01",627,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1987-10-01",673,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1987-11-01",651,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1987-12-01",656,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1988-01-01",665,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1988-02-01",805,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1988-03-01",790,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1988-04-01",650,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1988-05-01",685,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1988-06-01",640,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1988-07-01",613,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1988-08-01",719,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1988-09-01",695,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1988-10-01",636,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1988-11-01",768,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1988-12-01",658,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1989-01-01",654,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1989-02-01",804,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1989-03-01",766,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1989-04-01",750,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1989-05-01",785,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1989-06-01",723,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1989-07-01",612,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1989-08-01",708,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1989-09-01",692,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1989-10-01",870,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1989-11-01",846,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1989-12-01",724,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1990-01-01",861,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1990-02-01",916,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1990-03-01",948,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1990-04-01",949,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1990-05-01",955,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1990-06-01",906,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1990-07-01",878,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1990-08-01",1074,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1990-09-01",1007,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1990-10-01",1226,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1990-11-01",1214,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1990-12-01",1098,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1991-01-01",1247,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1991-02-01",1333,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1991-03-01",1222,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1991-04-01",1195,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1991-05-01",1181,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1991-06-01",1015,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1991-07-01",1052,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1991-08-01",1094,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1991-09-01",1005,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1991-10-01",1244,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1991-11-01",1238,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1991-12-01",1044,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1992-01-01",1249,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1992-02-01",1190,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1992-03-01",1353,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1992-04-01",1217,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1992-05-01",1132,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1992-06-01",1358,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1992-07-01",1173,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1992-08-01",1104,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1992-09-01",1299,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1992-10-01",1220,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1992-11-01",1249,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1992-12-01",1149,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1993-01-01",1109,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1993-02-01",1301,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1993-03-01",1382,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1993-04-01",1159,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1993-05-01",1040,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1993-06-01",1112,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1993-07-01",938,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1993-08-01",915,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1993-09-01",1088,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1993-10-01",1108,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1993-11-01",1127,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1993-12-01",1046,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1994-01-01",971,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1994-02-01",1008,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1994-03-01",1268,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1994-04-01",1027,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1994-05-01",977,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1994-06-01",1096,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1994-07-01",846,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1994-08-01",901,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1994-09-01",976,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1994-10-01",1017,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1994-11-01",1157,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1994-12-01",997,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1995-01-01",970,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1995-02-01",1188,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1995-03-01",1352,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1995-04-01",1070,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1995-05-01",1199,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
