"Date","Value","Macrobond_Code"
2022-11-01,48.8,"markit_3y_pmiglmanpm"
2022-12-01,48.7,"markit_3y_pmiglmanpm"
2023-01-01,49.1,"markit_3y_pmiglmanpm"
2023-02-01,49.9,"markit_3y_pmiglmanpm"
2023-03-01,49.6,"markit_3y_pmiglmanpm"
2023-04-01,49.6,"markit_3y_pmiglmanpm"
2023-05-01,49.5,"markit_3y_pmiglmanpm"
2023-06-01,48.7,"markit_3y_pmiglmanpm"
2023-07-01,48.6,"markit_3y_pmiglmanpm"
2023-08-01,49,"markit_3y_pmiglmanpm"
2023-09-01,49.2,"markit_3y_pmiglmanpm"
2023-10-01,48.8,"markit_3y_pmiglmanpm"
2023-11-01,49.3,"markit_3y_pmiglmanpm"
2023-12-01,49,"markit_3y_pmiglmanpm"
2024-01-01,50,"markit_3y_pmiglmanpm"
2024-02-01,50.3,"markit_3y_pmiglmanpm"
2024-03-01,50.6,"markit_3y_pmiglmanpm"
2024-04-01,50.3,"markit_3y_pmiglmanpm"
2024-05-01,51,"markit_3y_pmiglmanpm"
2024-06-01,50.9,"markit_3y_pmiglmanpm"
2024-07-01,49.7,"markit_3y_pmiglmanpm"
2024-08-01,49.6,"markit_3y_pmiglmanpm"
2024-09-01,48.7,"markit_3y_pmiglmanpm"
2024-10-01,49.4,"markit_3y_pmiglmanpm"
2024-11-01,50.1,"markit_3y_pmiglmanpm"
2024-12-01,49.6,"markit_3y_pmiglmanpm"
2025-01-01,50.1,"markit_3y_pmiglmanpm"
2025-02-01,50.6,"markit_3y_pmiglmanpm"
2025-03-01,50.3,"markit_3y_pmiglmanpm"
2025-04-01,49.8,"markit_3y_pmiglmanpm"
2025-05-01,49.5,"markit_3y_pmiglmanpm"
2025-06-01,50.4,"markit_3y_pmiglmanpm"
2025-07-01,49.7,"markit_3y_pmiglmanpm"
2025-08-01,50.9,"markit_3y_pmiglmanpm"
2025-09-01,50.7,"markit_3y_pmiglmanpm"
2025-10-01,50.8,"markit_3y_pmiglmanpm"
2022-11-01,47.8,"markit_3y_pmidmmanpm"
2022-12-01,47.3,"markit_3y_pmidmmanpm"
2023-01-01,48,"markit_3y_pmidmmanpm"
2023-02-01,48.1,"markit_3y_pmidmmanpm"
2023-03-01,48.4,"markit_3y_pmidmmanpm"
2023-04-01,48.5,"markit_3y_pmidmmanpm"
2023-05-01,47.6,"markit_3y_pmidmmanpm"
2023-06-01,46.3,"markit_3y_pmidmmanpm"
2023-07-01,47.1,"markit_3y_pmidmmanpm"
2023-08-01,46.8,"markit_3y_pmidmmanpm"
2023-09-01,47.4,"markit_3y_pmidmmanpm"
2023-10-01,47.5,"markit_3y_pmidmmanpm"
2023-11-01,47.7,"markit_3y_pmidmmanpm"
2023-12-01,47,"markit_3y_pmidmmanpm"
2024-01-01,48.9,"markit_3y_pmidmmanpm"
2024-02-01,49.3,"markit_3y_pmidmmanpm"
2024-03-01,49.3,"markit_3y_pmidmmanpm"
2024-04-01,48.6,"markit_3y_pmidmmanpm"
2024-05-01,50,"markit_3y_pmidmmanpm"
2024-06-01,49.7,"markit_3y_pmidmmanpm"
2024-07-01,48.8,"markit_3y_pmidmmanpm"
2024-08-01,48.3,"markit_3y_pmidmmanpm"
2024-09-01,47.5,"markit_3y_pmidmmanpm"
2024-10-01,48.1,"markit_3y_pmidmmanpm"
2024-11-01,48.4,"markit_3y_pmidmmanpm"
2024-12-01,48.2,"markit_3y_pmidmmanpm"
2025-01-01,49.3,"markit_3y_pmidmmanpm"
2025-02-01,50,"markit_3y_pmidmmanpm"
2025-03-01,49.1,"markit_3y_pmidmmanpm"
2025-04-01,49.1,"markit_3y_pmidmmanpm"
2025-05-01,50,"markit_3y_pmidmmanpm"
2025-06-01,50.5,"markit_3y_pmidmmanpm"
