"Date","description","Value","Macrobond_Code"
2009-02-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans in Average Price Change, Average Price Plans",1.376122,"casurv0058"
2009-03-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans in Average Price Change, Average Price Plans",1.287526,"casurv0058"
2009-04-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans in Average Price Change, Average Price Plans",1.313034,"casurv0058"
2009-05-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans in Average Price Change, Average Price Plans",1.380616,"casurv0058"
2009-06-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans in Average Price Change, Average Price Plans",1.042421,"casurv0058"
2009-07-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans in Average Price Change, Average Price Plans",1.386224,"casurv0058"
2009-08-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans in Average Price Change, Average Price Plans",1.335159,"casurv0058"
2009-09-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans in Average Price Change, Average Price Plans",1.254146,"casurv0058"
2009-10-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans in Average Price Change, Average Price Plans",1.457761,"casurv0058"
2009-11-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans in Average Price Change, Average Price Plans",1.324519,"casurv0058"
2009-12-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans in Average Price Change, Average Price Plans",1.347846,"casurv0058"
2010-01-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans in Average Price Change, Average Price Plans",1.302618,"casurv0058"
2010-02-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans in Average Price Change, Average Price Plans",1.580722,"casurv0058"
2010-03-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans in Average Price Change, Average Price Plans",1.4611,"casurv0058"
2010-04-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans in Average Price Change, Average Price Plans",1.452542,"casurv0058"
2010-05-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans in Average Price Change, Average Price Plans",1.474596,"casurv0058"
2010-06-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans in Average Price Change, Average Price Plans",1.452105,"casurv0058"
2010-07-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans in Average Price Change, Average Price Plans",1.453635,"casurv0058"
2010-08-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans in Average Price Change, Average Price Plans",1.483945,"casurv0058"
2010-09-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans in Average Price Change, Average Price Plans",1.215976,"casurv0058"
2010-10-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans in Average Price Change, Average Price Plans",1.479221,"casurv0058"
2010-11-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans in Average Price Change, Average Price Plans",1.359109,"casurv0058"
2010-12-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans in Average Price Change, Average Price Plans",1.520315,"casurv0058"
2011-01-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans in Average Price Change, Average Price Plans",1.673098,"casurv0058"
2011-02-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans in Average Price Change, Average Price Plans",1.796099,"casurv0058"
2011-03-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans in Average Price Change, Average Price Plans",1.985417,"casurv0058"
2011-04-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans in Average Price Change, Average Price Plans",2.046788,"casurv0058"
2011-05-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans in Average Price Change, Average Price Plans",2.114428,"casurv0058"
2011-06-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans in Average Price Change, Average Price Plans",1.622605,"casurv0058"
2011-07-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans in Average Price Change, Average Price Plans",1.775744,"casurv0058"
2011-08-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans in Average Price Change, Average Price Plans",1.661435,"casurv0058"
2011-09-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans in Average Price Change, Average Price Plans",1.668519,"casurv0058"
2011-10-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans in Average Price Change, Average Price Plans",1.735931,"casurv0058"
2011-11-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans in Average Price Change, Average Price Plans",1.648256,"casurv0058"
2011-12-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans in Average Price Change, Average Price Plans",1.613504,"casurv0058"
2012-01-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans in Average Price Change, Average Price Plans",1.455044,"casurv0058"
2012-02-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans in Average Price Change, Average Price Plans",1.615196,"casurv0058"
2012-03-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans in Average Price Change, Average Price Plans",1.48822,"casurv0058"
2012-04-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans in Average Price Change, Average Price Plans",1.804348,"casurv0058"
2012-05-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans in Average Price Change, Average Price Plans",1.358008,"casurv0058"
2012-06-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans in Average Price Change, Average Price Plans",1.401697,"casurv0058"
2012-07-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans in Average Price Change, Average Price Plans",1.463705,"casurv0058"
2012-08-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans in Average Price Change, Average Price Plans",1.598927,"casurv0058"
2012-09-01,"Canada, Business Surveys, Canadian Federation of Independent Business, CFIB Business Barometer Index, Index Components, Next Year Plans in Average Price Change, Average Price Plans",1.54497,"casurv0058"
