"Date","description","Value","Macrobond_Code"
2008-01-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",101683,"catran0052"
2008-02-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",108924,"catran0052"
2008-03-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",93251,"catran0052"
2008-04-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",116121,"catran0052"
2008-05-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",107090,"catran0052"
2008-06-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",112934,"catran0052"
2008-07-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",123517,"catran0052"
2008-08-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",117266,"catran0052"
2008-09-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",119498,"catran0052"
2008-10-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",102841,"catran0052"
2008-11-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",95884,"catran0052"
2008-12-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",95302,"catran0052"
2009-01-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",87097,"catran0052"
2009-02-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",66569,"catran0052"
2009-03-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",93729,"catran0052"
2009-04-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",93231,"catran0052"
2009-05-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",94064,"catran0052"
2009-06-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",92140,"catran0052"
2009-07-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",105605,"catran0052"
2009-08-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",102636,"catran0052"
2009-09-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",100674,"catran0052"
2009-10-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",96352,"catran0052"
2009-11-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",94525,"catran0052"
2009-12-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",96228,"catran0052"
2010-01-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",92254,"catran0052"
2010-02-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",93194,"catran0052"
2010-03-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",89629,"catran0052"
2010-04-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",104201,"catran0052"
2010-05-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",114524,"catran0052"
2010-06-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",118034,"catran0052"
2010-07-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",121285,"catran0052"
2010-08-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",117572,"catran0052"
2010-09-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",121312,"catran0052"
2010-10-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",111894,"catran0052"
2010-11-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",110100,"catran0052"
2010-12-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",102947,"catran0052"
2011-01-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",115942,"catran0052"
2011-02-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",97529,"catran0052"
2011-03-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",93080,"catran0052"
2011-04-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",111008,"catran0052"
2011-05-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",111724,"catran0052"
2011-06-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",106211,"catran0052"
2011-07-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",114589,"catran0052"
2011-08-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",121600,"catran0052"
2011-09-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",117707,"catran0052"
2011-10-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",109491,"catran0052"
2011-11-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",115865,"catran0052"
2011-12-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",105866,"catran0052"
2012-01-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",135748,"catran0052"
2012-02-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",94035,"catran0052"
2012-03-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",116327,"catran0052"
2012-04-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",125497,"catran0052"
2012-05-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",122314,"catran0052"
2012-06-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",118329,"catran0052"
2012-07-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",132599,"catran0052"
2012-08-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",131405,"catran0052"
2012-09-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",119864,"catran0052"
2012-10-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",125353,"catran0052"
2012-11-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",113955,"catran0052"
2012-12-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",115883,"catran0052"
2013-01-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",133727,"catran0052"
2013-02-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",124078,"catran0052"
2013-03-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",93699,"catran0052"
2013-04-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",127449,"catran0052"
2013-05-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",126787,"catran0052"
2013-06-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",115214,"catran0052"
2013-07-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",138417,"catran0052"
2013-08-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",137094,"catran0052"
2013-09-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",134428,"catran0052"
2013-10-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",130764,"catran0052"
2013-11-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",130594,"catran0052"
2013-12-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",115742,"catran0052"
2014-01-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",144784,"catran0052"
2014-02-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",111324,"catran0052"
2014-03-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",117882,"catran0052"
2014-04-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",114352,"catran0052"
2014-05-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",137142,"catran0052"
2014-06-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",135333,"catran0052"
2014-07-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",147638,"catran0052"
2014-08-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",137306,"catran0052"
2014-09-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",134828,"catran0052"
2014-10-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",131143,"catran0052"
2014-11-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",115090,"catran0052"
2014-12-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",129856,"catran0052"
2015-01-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",133785,"catran0052"
2015-02-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",123185,"catran0052"
2015-03-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",142105,"catran0052"
2015-04-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",132850,"catran0052"
2015-05-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",134027,"catran0052"
2015-06-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",123499,"catran0052"
2015-07-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",140827,"catran0052"
2015-08-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",134260,"catran0052"
2015-09-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",142468,"catran0052"
2015-10-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",128196,"catran0052"
2015-11-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",128342,"catran0052"
2015-12-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",117303,"catran0052"
2016-01-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",139963,"catran0052"
2016-02-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",120390,"catran0052"
2016-03-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",103106,"catran0052"
2016-04-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",124342,"catran0052"
2016-05-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",131185,"catran0052"
2016-06-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",121021,"catran0052"
2016-07-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",138883,"catran0052"
2016-08-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",142339,"catran0052"
2016-09-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",136101,"catran0052"
2016-10-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",138226,"catran0052"
2016-11-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",132800,"catran0052"
2016-12-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",125784,"catran0052"
2017-01-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",132718,"catran0052"
2017-02-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",132009,"catran0052"
2017-03-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",125796,"catran0052"
2017-04-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",139389,"catran0052"
2017-05-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",156349,"catran0052"
2017-06-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",138150,"catran0052"
2017-07-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",155386,"catran0052"
2017-08-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",145949,"catran0052"
2017-09-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",153675,"catran0052"
2017-10-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",141763,"catran0052"
2017-11-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",158016,"catran0052"
2017-12-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",134049,"catran0052"
2018-01-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",143045,"catran0052"
2018-02-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",137854,"catran0052"
2018-03-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",144914,"catran0052"
2018-04-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",134435,"catran0052"
2018-05-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",150296,"catran0052"
2018-06-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",144400,"catran0052"
2018-07-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",167746,"catran0052"
2018-08-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",137377,"catran0052"
2018-09-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",169032,"catran0052"
2018-10-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",156993,"catran0052"
2018-11-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",154260,"catran0052"
2018-12-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",140718,"catran0052"
2019-01-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",172856,"catran0052"
2019-02-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",131959,"catran0052"
2019-03-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",134111,"catran0052"
2019-04-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",147714,"catran0052"
2019-05-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",132116,"catran0052"
2019-06-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",139470,"catran0052"
2019-07-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",164957,"catran0052"
2019-08-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",148057,"catran0052"
2019-09-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",158366,"catran0052"
2019-10-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",137519,"catran0052"
2019-11-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",128845,"catran0052"
2019-12-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",144901,"catran0052"
2020-01-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",147173,"catran0052"
2020-02-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",120485,"catran0052"
2020-03-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",117826,"catran0052"
2020-04-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",154575,"catran0052"
2020-05-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",139402,"catran0052"
2020-06-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",144719,"catran0052"
2020-07-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",166718,"catran0052"
2020-08-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",168236,"catran0052"
2020-09-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",161918,"catran0052"
2020-10-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",195492,"catran0052"
2020-11-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",167293,"catran0052"
2020-12-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",170365,"catran0052"
2021-01-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",162678,"catran0052"
2021-02-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",147493,"catran0052"
2021-03-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",170487,"catran0052"
2021-04-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",172320,"catran0052"
2021-05-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",184814,"catran0052"
2021-06-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",151649,"catran0052"
2021-07-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",140516,"catran0052"
2021-08-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",182322,"catran0052"
2021-09-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",165665,"catran0052"
2021-10-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",172935,"catran0052"
2021-11-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",126709,"catran0052"
2021-12-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",146032,"catran0052"
2022-01-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",132365,"catran0052"
2022-02-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",135449,"catran0052"
2022-03-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",166056,"catran0052"
2022-04-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",180541,"catran0052"
2022-05-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",168348,"catran0052"
2022-06-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",168363,"catran0052"
2022-07-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",157394,"catran0052"
2022-08-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",178401,"catran0052"
2022-09-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",167452,"catran0052"
2022-10-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",150752,"catran0052"
2022-11-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",140838,"catran0052"
2022-12-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",98683,"catran0052"
2023-01-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",124284,"catran0052"
2023-02-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",124972,"catran0052"
2023-03-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",116725,"catran0052"
2023-04-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",142508,"catran0052"
2023-05-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",145589,"catran0052"
2023-06-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",136229,"catran0052"
