"Date","description","Value","Macrobond_Code"
1998-07-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",25,"casurv1006"
1998-10-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",40,"casurv1006"
1999-01-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",31,"casurv1006"
1999-04-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",68,"casurv1006"
1999-07-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",36,"casurv1006"
1999-10-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",44,"casurv1006"
2000-01-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",43,"casurv1006"
2000-04-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",66,"casurv1006"
2000-07-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",56,"casurv1006"
2000-10-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",59,"casurv1006"
2001-01-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",51,"casurv1006"
2001-04-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",48,"casurv1006"
2001-07-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",35,"casurv1006"
2001-10-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",35,"casurv1006"
2002-01-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",31,"casurv1006"
2002-04-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",39,"casurv1006"
2002-07-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",38,"casurv1006"
2002-10-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",40,"casurv1006"
2003-01-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",36,"casurv1006"
2003-04-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",31,"casurv1006"
2003-07-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",34,"casurv1006"
2003-10-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",30,"casurv1006"
2004-01-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",36,"casurv1006"
2004-04-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",37,"casurv1006"
2004-07-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",44,"casurv1006"
2004-10-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",36,"casurv1006"
2005-01-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",33,"casurv1006"
2005-04-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",36,"casurv1006"
2005-07-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",50,"casurv1006"
2005-10-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",49,"casurv1006"
2006-01-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",44,"casurv1006"
